"id","plant","source","user_id","created_at","updated_at","zone"
"1","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",1
"2","Cabbage","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",1
"3","Potatoes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",1
"4","Beets","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"5","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"6","Brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"7","Cabbage","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"8","Celery","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"9","Grapes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"10","Parsnips","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"11","Phlox","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"12","Potatoes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"13","Radishes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"14","Raspberries","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"15","Tomatoes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"16","Black-eyed Susans","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"17","Blueberries","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"18","Broccoli","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"19","Brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"20","Cabbage","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"21","Celery","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"22","Chives","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"23","Coneflowers","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
